pyweather_Zeitpunkt,pyweather_Temperatur,pyweather_Temperatur_felt,pyweather_rel_Luftfeuchtigkeit_py,sense_hat_Zeitpunkt,sense_hat_Temperatur,sense_hat_Temperatur_hum,sense_hat_Temperatur_pres,sense_hat_Temperatur_cpu,sense_hat_Luftdruck,sense_hat_rel_Luftfeuchtigkeit,sense_hat_Temperatur_sensor
2022-08-27_14:20:00,19,19,78,2022-08-27_15:04:59,28.17,28.17,27.81,50.6,1015.97,55.17,26.937
2022-08-27_14:20:00,19,19,78,2022-08-27_15:06:02,28.1,28.1,27.75,50.6,1015.93,54.23,26.875
2022-08-27_14:20:00,19,19,78,2022-08-27_15:07:04,28.04,28.04,27.73,51.1,1015.88,53.99,26.75
2022-08-27_14:20:00,19,19,78,2022-08-27_15:08:07,28.15,28.15,27.86,51.1,1015.87,54.26,26.937
2022-08-27_14:20:00,19,19,78,2022-08-27_15:09:09,28.36,28.36,27.91,50.1,1015.82,53.96,26.875
2022-08-27_14:20:00,19,19,78,2022-08-27_15:10:12,28.23,28.23,27.85,50.1,1015.96,53.07,26.812
2022-08-27_14:20:00,19,19,78,2022-08-27_15:11:15,28.06,28.06,27.66,49.1,1016.01,52.48,26.687
2022-08-27_14:20:00,19,19,78,2022-08-27_15:12:18,27.96,27.96,27.66,49.6,1015.96,52.58,26.625
2022-08-27_14:20:00,19,19,78,2022-08-27_15:13:21,27.93,27.93,27.59,49.6,1016.01,52.56,26.75
2022-08-27_14:20:00,19,19,78,2022-08-27_15:14:24,28.11,28.11,27.75,48.7,1015.99,52.68,26.75
